task_id,n_genomes,n_groups,primary,alpha,random_mean,random_ci95_lo,random_ci95_hi,blocked_mean,blocked_ci95_lo,blocked_ci95_hi,delta_mean,delta_ci95_lo,delta_ci95_hi,delta_macro_mean,delta_macro_ci95_lo,delta_macro_ci95_hi,logo_pooled,logo_macro,logo_infl_lo,logo_infl_hi,note,random_macro_mean,random_macro_ci95_lo,random_macro_ci95_hi,blocked_macro_mean,blocked_macro_ci95_lo,blocked_macro_ci95_hi
T01,777,100,rho,10.0,0.8685234930165695,0.8629018265559166,0.8732307603459388,0.382379617497156,0.2986923848723851,0.4613516430190563,0.4861438755194135,0.4100759157767092,0.5674595488277918,0.4490775279271684,0.3627986903240457,0.5259131313744728,0.4303633416454508,0.5239883886702612,-0.0196191061755948,0.041083258486158,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization),0.910871878496685,0.9043434972469927,0.9160053341261252,0.46179435056951657,0.3832147869400688,0.549143129672728
T07,560,20,rho,0.001,0.9450166228913665,0.9419218843604332,0.9473273882031268,0.3632749934195873,0.0340038647972922,0.6188999318917652,0.5817416294717789,0.3238697989547049,0.9100745412025132,0.5807605952042294,0.3514287663455505,0.9024969581173378,0.5157155891346001,0.5173196222354475,-0.0592420262849217,0.1014544043499307,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization),0.9490794907167932,0.9490794907167932,0.9490794907167932,0.36831889551256397,0.046582532599455315,0.5976507243712428
T08,440,12,auc,1000.0,0.7683099241218663,0.7562593694504024,0.7824644249175488,0.5283418667404691,0.444212274268318,0.59746534744805,0.2399680573813971,0.1621560690975345,0.3260366936506838,0.2140104842006801,0.1140813241556978,0.2959851162768278,0.549620609331396,0.5444874021336384,-0.0451292125702624,0.0537776500967017,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization),,,,,,
T06,302,40,auc,1000.0,0.5803598484848485,0.5518998579545454,0.6027450284090909,0.5097743055555557,0.4520880681818182,0.5580646306818181,0.0705855429292929,0.0171661931818182,0.1333451704545454,0.0734425889525908,0.0046975003336738,0.1536896805956891,0.5223011363636364,0.5274918786083878,-0.007360345232369,0.0192073551448551,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization),,,,,,
T03_REP,1002,219,auc,1000.0,0.699937202172066,0.6912426054238325,0.711796097035837,0.6210246072497191,0.599296162999942,0.6501676807548404,0.078912594922347,0.047673709874035,0.1085350955424095,0.0498852298277065,0.0225104686622514,0.0826722687089532,0.6244689889549703,0.5953430549943757,-0.007968076173302,0.0172719114805831,alpha locked once via group-aware GroupKFold MSE; repeats use fixed alpha (group-aware regularization),,,,,,
