case_id,claim_provenance,block_provenance,unit_to_block_provenance,membership_provenance,curation_status
GENELAB-MISSION-LOMO,author_declared,upstream_release,upstream_release,direct_release,source_preserving
HU-MSMA-LOSO-OUTER,upstream_release,upstream_release,upstream_release,deterministic_generator,adapter_only
HU-PA-CEFTAZ-PHYLO,author_declared,author_declared,not_available,direct_release,source_preserving
BABAYAN-VIRAL_HOST,author_declared,author_declared,upstream_release,not_available,source_preserving
BABAYAN-REMEDIATION,author_declared,upstream_release,upstream_release,remediation_only,remediation_only
GB-HUMAN_PROMOTERS,author_declared,author_declared,upstream_release,direct_release,source_preserving
PROTEINGYM-DMS,author_declared,not_available,not_available,direct_release,source_preserving
MOLLENTZE-ZOONOTIC_RANK,author_declared,author_declared,not_available,not_available,source_preserving
SCRNA-DONOR-CV,author_declared,author_declared,not_available,not_available,source_preserving
