task_id,n_genomes,n_groups,primary,alpha,random_mean,random_ci95_lo,random_ci95_hi,blocked_mean,blocked_ci95_lo,blocked_ci95_hi,delta_mean,delta_ci95_lo,delta_ci95_hi,random_macro_mean,random_macro_ci95_lo,random_macro_ci95_hi,blocked_macro_mean,blocked_macro_ci95_lo,blocked_macro_ci95_hi,delta_macro_mean,delta_macro_ci95_lo,delta_macro_ci95_hi,logo_pooled,logo_macro,logo_infl_lo,logo_infl_hi,note
T01,777,100,rho,,0.8897477492453385,0.8829077521846618,0.8962211121906709,0.31724786800492605,0.23401327767959462,0.40206995929117095,0.5724998812404125,0.4886594587484369,0.654666542526289,0.9385182149465393,0.934498658557322,0.9418799210178895,0.38214206650238525,0.2419379448745493,0.504378992374904,0.5563761484441541,0.4326589077780197,0.6987798244412461,,,,,primary: nested Ridge α retuned on each outer training fold (group-aware); n_repeats=8
T07,560,20,rho,,0.9476517747471137,0.9471851040766261,0.9478921141330224,0.08576037734229239,-0.087126556755939,0.3392221042660592,0.8618913974048212,0.6085449448780501,1.0348137372661799,0.9490794907167933,0.9490794907167933,0.9490794907167933,0.11913007380345395,-0.06424903730979294,0.3621633465619217,0.8299494169133395,0.5869161441548716,1.0133285280265862,,,,,primary: nested Ridge α retuned on each outer training fold (group-aware); n_repeats=8
T08,440,12,auc,,0.8156265135266034,0.8031763878318227,0.8282571092506746,0.5267822136119376,0.4869041029544039,0.586924283309117,0.288844299914666,0.22126144514403007,0.33358299315021117,0.7828054901466397,0.7730548978506816,0.8004509468726012,0.5244279455040897,0.45361709061925465,0.6004853503962054,0.25837754464255014,0.17603614206086735,0.32239715722376605,,,,,primary: nested Ridge α retuned on each outer training fold (group-aware); n_repeats=8
T03_REP,1002,219,auc,,0.6997069874457116,0.6917501332474921,0.7073994575112006,0.6172102988437812,0.6000861491210944,0.6343327334997387,0.08249668860193037,0.06424112255075284,0.10603057040480836,0.6412963160912865,0.6311166656531045,0.6520180844971575,0.5891448864914519,0.5659658788981294,0.5998289099419403,0.05215142959983454,0.036130890782012,0.06931489880366215,,,,,primary: nested Ridge α retuned on each outer training fold (group-aware); n_repeats=8
