panel,n_groups,genomes_per_group,icc,within_corr,effect_size,label_noise,n_features,n_genomes,random_rho,blocked_rho,delta_rho
main,20,1,0.0,0.2,1.5,0.05,32,20,-0.19248120300751878,-0.3203007518796992,0.12781954887218042
main,20,1,0.0,0.8,1.5,0.05,32,20,0.33082706766917286,0.07518796992481201,0.25563909774436083
main,20,1,0.5,0.2,1.5,0.05,32,20,-0.41804511278195483,-0.6090225563909774,0.19097744360902252
main,20,1,0.5,0.8,1.5,0.05,32,20,-0.14887218045112782,-0.7353383458646616,0.5864661654135338
main,20,1,1.0,0.2,1.5,0.05,32,20,-0.4090225563909774,-0.4270676691729323,0.01804511278195492
main,20,1,1.0,0.8,1.5,0.05,32,20,-0.46917293233082696,-0.4947368421052631,0.025563909774436122
main,20,2,0.0,0.2,1.5,0.05,32,40,-0.3091932457786117,0.16566604127579737,-0.47485928705440905
main,20,2,0.0,0.8,1.5,0.05,32,40,-0.10863039399624766,-0.30900562851782365,0.200375234521576
main,20,2,0.5,0.2,1.5,0.05,32,40,-0.4842401500938087,-0.5568480300187618,0.0726078799249531
main,20,2,0.5,0.8,1.5,0.05,32,40,-0.08161350844277675,0.07748592870544091,-0.15909943714821767
main,20,2,1.0,0.2,1.5,0.05,32,40,-0.45446029423632633,-0.44018798747518545,-0.014272306761140885
main,20,2,1.0,0.8,1.5,0.05,32,40,0.46723025291734704,0.05784040108462335,0.4093898518327237
main,20,5,0.0,0.2,1.5,0.05,32,100,-0.3546834683468346,-0.28069606960696064,-0.07398739873987398
main,20,5,0.0,0.8,1.5,0.05,32,100,-0.2383318331833183,-0.1962916291629163,-0.04204020402040201
main,20,5,0.5,0.2,1.5,0.05,32,100,0.11284728472847284,-0.09554155415541554,0.20838883888388837
main,20,5,0.5,0.8,1.5,0.05,32,100,0.353975397539754,-0.2004080408040804,0.5543834383438344
main,20,5,1.0,0.2,1.5,0.05,32,100,0.2472215662674403,-0.12069699310602372,0.367918559373464
main,20,5,1.0,0.8,1.5,0.05,32,100,0.8169426143632207,0.049804782122893805,0.7671378322403268
main,20,10,0.0,0.2,1.5,0.05,32,200,0.07169279231980799,-0.06578564464111604,0.13747843696092404
main,20,10,0.0,0.8,1.5,0.05,32,200,0.0036615915397884957,-0.09227030675766894,0.09593189829745744
main,20,10,0.5,0.2,1.5,0.05,32,200,0.1764659116477912,-0.27227630690767274,0.4487422185554639
main,20,10,0.5,0.8,1.5,0.05,32,200,0.41364434110852777,-0.4474551863796596,0.8610995274881874
main,20,10,1.0,0.2,1.5,0.05,32,200,0.24455393683775248,-0.28354319066264994,0.5280971275004024
main,20,10,1.0,0.8,1.5,0.05,32,200,0.6147566015256946,-0.5534491538703665,1.1682057553960612
sign_reversal,4,5,0.0,0.2,1.5,0.25,32,20,-0.13383458646616542,0.2556390977443609,-0.3894736842105263
sign_reversal,4,5,0.25,0.2,1.5,0.25,32,20,0.009022556390977442,0.4270676691729323,-0.4180451127819549
sign_reversal,4,10,0.0,0.2,1.5,0.25,32,40,-0.4818011257035648,-0.34446529080675425,-0.13733583489681056
sign_reversal,4,10,0.25,0.2,1.5,0.25,32,40,-0.21969981238273922,-0.46397748592870547,0.24427767354596625
sign_reversal,6,5,0.0,0.2,1.5,0.25,32,30,-0.5572858731924359,-0.06785317018909899,-0.48943270300333697
sign_reversal,6,5,0.25,0.2,1.5,0.25,32,30,-0.1385984427141268,-0.15595105672969967,0.017352614015572865
sign_reversal,6,10,0.0,0.2,1.5,0.25,32,60,-0.23867741039177556,-0.22300639066407338,-0.015671019727702185
sign_reversal,6,10,0.25,0.2,1.5,0.25,32,60,-0.3860516810225063,-0.2129480411225341,-0.1731036398999722
sign_reversal,8,5,0.0,0.2,1.5,0.25,32,40,-0.21144465290806758,-0.3489681050656661,0.13752345215759854
sign_reversal,8,5,0.25,0.2,1.5,0.25,32,40,-0.24446529080675425,-0.30000000000000004,0.055534709193245796
sign_reversal,8,10,0.0,0.2,1.5,0.25,32,80,-0.28863103609939056,0.04479606188466948,-0.33342709798406006
sign_reversal,8,10,0.25,0.2,1.5,0.25,32,80,-0.20117205813408348,-0.05796999531176747,-0.143202062822316
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.49766407119021133,0.303670745272525,0.1939933259176863
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.36462736373748605,-0.3993325917686318,0.03470522803114573
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.24315906562847608,-0.22714126807563956,-0.016017797552836527
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.2867630700778643,-0.16307007786429364,-0.12369299221357064
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.14705228031145717,0.21735261401557288,-0.0703003337041157
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.15016685205784203,0.2324805339265851,-0.08231368186874308
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.2342602892102336,-0.5581757508342603,0.7924360400444939
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.418020022246941,-0.3864293659621802,-0.03159065628476082
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.12525027808676306,0.026028921023359287,0.09922135706340378
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.47986651835372635,-0.4082313681868743,-0.07163515016685207
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.1345939933259177,-0.26585094549499444,0.13125695216907673
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.3864293659621802,-0.36774193548387096,-0.01868743047830923
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.071412680756396,-0.21245828698553948,0.14104560622914347
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.17508342602892102,-0.5141268075639599,0.3390433815350389
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.09810901001112346,0.23559510567296996,-0.3337041156840934
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.2992213570634038,-0.450055617352614,0.1508342602892102
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.41401557285873186,-0.3704115684093437,-0.04360400444938817
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.05228031145717464,0.04382647385984427,0.008453837597330371
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,0.21423804226918797,-0.045606229143492764,0.25984427141268074
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.24582869855394882,-0.3410456062291435,0.09521690767519467
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.44827586206896547,-0.3935483870967742,-0.05472747497219127
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.24048943270300333,-0.12614015572858733,-0.11434927697441599
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.1982202447163515,-0.29076751946607343,0.09254727474972194
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.05406006674082313,-0.38020022246941043,0.3261401557285873
sign_reversal_multiseed,6,5,0.0,0.2,1.5,0.25,32,30,-0.41846496106785314,-0.1421579532814238,-0.27630700778642936
