task_id,panel,category,n_genomes,n_groups,label_assignment_unit,declared_deployment_block,metric,random_cv,blocked_cv,delta_B,sai_lo,sai_hi,probe_protocol,verdict_pattern,shared_block_fraction_random,within_block_homogeneity,contract_status
T01,OGT Domain C (777 genomes),positive_control,777,100,species,species,species-macro Spearman ρ,0.939,0.382,0.556,0.433,0.699,nested Ridge-α (group-aware outer-fold retuning); repeated CV,large_gap_blocked_moderate,,,
T07,OGT Domain B (560 genomes),positive_control,560,20,species,species,species-macro Spearman ρ,0.949,0.119,0.83,0.587,1.013,nested Ridge-α (group-aware outer-fold retuning); repeated CV,large_gap_blocked_low,,,
T08,Babayan 2018 reservoir host,published_panel,440,12,species (often singleton),Viral group (12),AUROC,0.816,0.527,0.289,0.221,0.334,nested Ridge-α (group-aware outer-fold retuning); repeated CV,moderate_gap,,,
T03_REP,Mollentze 2021 InfectsHuman (n≥2 species),published_panel,1002,219,species,species,AUROC,0.7,0.617,0.082,0.064,0.106,nested Ridge-α (group-aware outer-fold retuning); repeated CV,moderate_gap,,,
T06_country,Hu 2024 P. aeruginosa ceftazidime (country subset),published_panel_null,187,187,isolate/strain,country (18 levels),AUROC,0.592,0.59,0.002,,,single-seed k-mer Ridge OOF; country-annotated 187-isolate subset,near_zero_gap,0.968,0.789,pass
T06,Hu 2024 ceftazidime (composition cluster),operational_block,302,40,isolate/strain,KMeans k=40 (full-cohort),AUROC,0.579,0.518,0.061,,,single-seed k-mer Ridge OOF (locked α); matrix companion,moderate_gap,,,
T04_ALT,Hu 2024 ceftazidime (strain singleton control),construction_control,302,302,isolate/strain,PATRIC strain (302 singleton),Spearman ρ,0.132,0.128,0.003,,,single-seed k-mer Ridge OOF (locked α); matrix companion,expected_smaller_gap,,,
T02,SpillOver public scores → seq-level ML (integrity audit),integrity_audit,632,25,curated organism entity,Organism_Name (25 groups),Spearman ρ,0.764,-0.136,0.9,,,single-seed k-mer Ridge OOF (locked α); matrix companion,large_gap_blocked_low,,,
